id,business_category,product_name,product_number,product_type,product_trigram,prerequisite,available_pricing,default_support_level,ext_enterprise_user,remote_access,licensing_structure,withdrawn_after,portfolio_type,portfolio_product,included_product_numbers,included_item_names,ds_offerings
2358,V5,CATIA - SHEETMETAL PRODUCTION 1 Product,5AP-SH1,Add-On,SH1,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2870,V5,DELMIA - Workcell Sequencing 2 Product,5AP-WSQ,Add-On,WSQ,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2103,V5,CATIA - Automotive Body In White Design 3 Configuration,5CC-AB3,Configuration,AB3,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2359,V5,CATIA - SHEETMETAL PRODUCTION 1 Product,5CP-SH1,Shareable,SH1,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2871,V5,DELMIA - Workcell Sequencing 2 Product,5CP-WSQ,Shareable,WSQ,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2104,V5,CATIA - AUTOMOTIVE BODY IN WHITE TEMPLATES 2 Product,5CP-ABT,Shareable,ABT,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2360,V5,CATIA - AEROSPACE SHEETMETAL DESIGN 3 Configuration,5CC-SL3,Configuration,SL3,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2872,V5,DELMIA - Device Task Definition 2 Product,5AP-WSU,Add-On,WSU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2105,V5,CATIA - AUTOMOTIVE BODY IN WHITE TEMPLATES 2 Product,5AP-ABT,Add-On,ABT,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2361,V5,CATIA - SHEETMETAL DESIGN 1 Product,5AP-SM1,Add-On,SM1,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2873,V5,DELMIA - Robotics Simulation XT 2 Configuration,5CC-WX2,Configuration,WX2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2106,V5,CATIA - AUTOMOTIVE CLASS A 3 Configuration,5CC-AC3,Configuration,AC3,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2362,V5,CATIA - SHEETMETAL DESIGN 2 Product,5AP-SMD,Add-On,SMD,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2874,V5,DELMIA - DPM Process & Resource Definition GT 2 Configuration,5CC-XG2,Configuration,XG2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2107,V5,CATIA - AUTOMOTIVE CLASS A OPTIMIZER 3 Product,5AP-ACO,Add-On,ACO,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2363,V5,CATIA - SHEETMETAL DESIGN 2 Product,5CP-SMD,Shareable,SMD,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2875,V5,DELMIA - DPM Process & Resource Definition 2 Configuration,5CC-XP2,Configuration,XP2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2108,V5,CATIA - AUTOMOTIVE CLASS A OPTIMIZER 3 Product,5CP-ACO,Shareable,ACO,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2364,V5,CATIA - 3 AXIS SURFACE MACHINING 2 Product,5CP-SMG,Shareable,SMG,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2876,V5,DELMIA - ABB Robot Library & OLP,5CP-ARU,Shareable,ARU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2109,V5,CATIA - DESIGNER & ADVANCED MACHINIST 2 Configuration,5CC-AM2,Configuration,AM2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2365,V5,CATIA - 3 AXIS SURFACE MACHINING 2 Product,5AP-SMG,Add-On,SMG,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2877,V5,DELMIA - ABB Robot Library & OLP,5AP-ARU,Add-On,ARU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2110,V5,CATIA - ADVANCED MACHINING 2 Product,5CP-AMG,Shareable,AMG,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2366,V5,CATIA User Companion for Sheetmetal Product,5EP-SMS,Enterprise,SMS,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
